zone,inverter_no,inverter_id,string_no,string_id,modules_per_string,inverter_string_count,modules_on_inverter,inverter_capacity_kwp,cable_cross_section,zone_total_strings,zone_total_modules,zone_total_capacity_kwp,page,source_pdf
T01,5,T01-INV05,17,T01-INV05-S17,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,5,T01-INV05,18,T01-INV05-S18,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,5,T01-INV05,19,T01-INV05-S19,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,5,T01-INV05,20,T01-INV05-S20,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,5,T01-INV05,21,T01-INV05-S21,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,1,T01-INV06-S01,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,2,T01-INV06-S02,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,3,T01-INV06-S03,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,4,T01-INV06-S04,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,5,T01-INV06-S05,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,6,T01-INV06-S06,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,7,T01-INV06-S07,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,8,T01-INV06-S08,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,9,T01-INV06-S09,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,10,T01-INV06-S10,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,11,T01-INV06-S11,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,12,T01-INV06-S12,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,13,T01-INV06-S13,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,14,T01-INV06-S14,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,15,T01-INV06-S15,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,16,T01-INV06-S16,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,17,T01-INV06-S17,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,18,T01-INV06-S18,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,19,T01-INV06-S19,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,20,T01-INV06-S20,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,6,T01-INV06,21,T01-INV06-S21,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
T01,7,T01-INV07,1,T01-INV07-S01,28,21,588,426.30,3x150,249,6972,5022.64,1,AHP-PL-EL-PDF-PSW-01 PV System Wiring Diagram T01 Rev_00.pdf
